benchmark,question_id,true_answer,majority_vote,weighted_vote,random_vote,best_agent,mv_correct,wv_correct,rv_correct,bv_correct,num_missing_agents,missing_agents,exceeds_missing_threshold,very_strong_answer,very_strong_correct,strong_answer,strong_correct,medium_answer,medium_correct,weak_answer,weak_correct,very_weak_answer,very_weak_correct
gsm8k,27,16,16.0,16.0,16.0,16.0,1,1,1,1,0,,0,16.0,1,16.0,1,16.0,1,16.0,1,16.0,1
gsm8k,28,25,25.0,25.0,25.0,25.0,1,1,1,1,0,,0,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1
gsm8k,29,104,104.0,104.0,104.0,104.0,1,1,1,1,0,,0,104.0,1,104.0,1,104.0,1,104.0,1,104.0,1
gsm8k,30,109,109.0,109.0,109.0,109.0,1,1,1,1,0,,0,109.0,1,109.0,1,109.0,1,109.0,1,109.0,1
gsm8k,31,80,80.0,80.0,80.0,80.0,1,1,1,1,0,,0,80.0,1,80.0,1,80.0,1,80.0,1,80.0,1
gsm8k,32,35,35.0,35.0,35.0,35.0,1,1,1,1,0,,0,35.0,1,35.0,1,35.0,1,35.0,1,35.0,1
gsm8k,33,70,70.0,70.0,70.0,70.0,1,1,1,1,0,,0,70.0,1,70.0,1,70.0,1,70.0,1,70.0,1
gsm8k,34,23,23.0,23.0,23.0,23.0,1,1,1,1,0,,0,23.0,1,23.0,1,23.0,1,23.0,1,23.0,1
gsm8k,35,9,9.0,9.0,9.0,9.0,1,1,1,1,0,,0,9.0,1,9.0,1,9.0,1,9.0,1,9.0,1
gsm8k,36,75,75.0,75.0,75.0,75.0,1,1,1,1,0,,0,75.0,1,75.0,1,75.0,1,75.0,1,75.0,1
gsm8k,37,2,2.0,2.0,2.0,2.0,1,1,1,1,0,,0,2.0,1,2.0,1,11.0,0,2.0,1,11.0,0
gsm8k,38,10,10.0,10.0,10.0,10.0,1,1,1,1,0,,0,10.0,1,10.0,1,10.0,1,10.0,1,10.0,1
gsm8k,39,18,18.0,18.0,18.0,18.0,1,1,1,1,0,,0,18.0,1,18.0,1,3.0,0,18.0,1,18.0,1
gsm8k,40,8,8.0,8.0,8.0,8.0,1,1,1,1,0,,0,8.0,1,8.0,1,8.0,1,8.0,1,8.0,1
gsm8k,41,200,200.0,200.0,200.0,200.0,1,1,1,1,0,,0,200.0,1,200.0,1,200.0,1,200.0,1,200.0,1
gsm8k,42,26,26.0,26.0,26.0,26.0,1,1,1,1,0,,0,26.0,1,26.0,1,26.0,1,26.0,1,26.0,1
gsm8k,43,48,48.0,48.0,48.0,48.0,1,1,1,1,0,,0,48.0,1,48.0,1,1.0,0,48.0,1,240.0,0
gsm8k,44,20,20.0,20.0,20.0,20.0,1,1,1,1,0,,0,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1
gsm8k,45,104,104.0,104.0,104.0,104.0,1,1,1,1,0,,0,104.0,1,104.0,1,104.0,1,104.0,1,104.0,1
gsm8k,46,163,163.0,163.0,163.0,163.0,1,1,1,1,0,,0,163.0,1,163.0,1,163.0,1,163.0,1,277.0,0
gsm8k,47,800,800.0,800.0,800.0,800.0,1,1,1,1,0,,0,800.0,1,800.0,1,800.0,1,800.0,1,800.0,1
gsm8k,48,8,8.0,8.0,8.0,8.0,1,1,1,1,0,,0,8.0,1,8.0,1,8.0,1,8.0,1,8.0,1
gsm8k,49,30,30.0,30.0,30.0,30.0,1,1,1,1,0,,0,30.0,1,30.0,1,30.0,1,30.0,1,30.0,1
gsm8k,50,294,294.0,294.0,294.0,294.0,1,1,1,1,0,,0,294.0,1,294.0,1,12.0,0,294.0,1,294.0,1
gsm8k,51,5,5.0,5.0,5.0,5.0,1,1,1,1,0,,0,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1
gsm8k,52,15,15.0,15.0,15.0,15.0,1,1,1,1,0,,0,15.0,1,15.0,1,15.0,1,15.0,1,15.0,1
gsm8k,53,40,40.0,40.0,40.0,40.0,1,1,1,1,0,,0,40.0,1,40.0,1,480.0,0,40.0,1,40.0,1
gsm8k,54,40,40.0,40.0,40.0,40.0,1,1,1,1,0,,0,40.0,1,40.0,1,40.0,1,40.0,1,40.0,1
gsm8k,55,14,14.0,14.0,14.0,14.0,1,1,1,1,0,,0,14.0,1,14.0,1,14.0,1,14.0,1,14.0,1
gsm8k,56,3,3.0,3.0,3.0,3.0,1,1,1,1,0,,0,3.0,1,3.0,1,3.0,1,3.0,1,3.0,1
gsm8k,57,83,83.0,83.0,83.0,83.0,1,1,1,1,0,,0,83.0,1,83.0,1,5000.0,0,83.0,1,83.0,1
gsm8k,58,57,57.0,57.0,57.0,57.0,1,1,1,1,0,,0,57.0,1,57.0,1,3.0,0,57.0,1,57.0,1
gsm8k,59,187,187.0,187.0,187.0,187.0,1,1,1,1,0,,0,187.0,1,187.0,1,187.0,1,187.0,1,187.0,1
gsm8k,60,17,17.0,17.0,17.0,17.0,1,1,1,1,1,weak,0,17.0,1,17.0,1,17.0,1,,0,17.0,1
gsm8k,61,1430,1430.0,1430.0,1430.0,1430.0,1,1,1,1,0,,0,1430.0,1,1430.0,1,1430.0,1,1380.0,0,1430.0,1
gsm8k,62,25000,0.0,0.0,0.0,0.0,0,0,0,0,2,"very_strong,weak",0,,0,0.0,0,20.0,0,,0,0.0,0
gsm8k,63,1596,1596.0,1596.0,1596.0,1596.0,1,1,1,1,0,,0,1596.0,1,1596.0,1,1596.0,1,1596.0,1,1596.0,1
gsm8k,64,300,300.0,300.0,300.0,300.0,1,1,1,1,0,,0,300.0,1,150.0,0,12.0,0,300.0,1,300.0,1
gsm8k,65,36,36.0,36.0,36.0,36.0,1,1,1,1,0,,0,36.0,1,36.0,1,36.0,1,36.0,1,36.0,1
gsm8k,66,48,48.0,48.0,48.0,48.0,1,1,1,1,0,,0,48.0,1,48.0,1,48.0,1,48.0,1,48.0,1
gsm8k,67,595,595.0,595.0,595.0,595.0,1,1,1,1,0,,0,595.0,1,595.0,1,595.0,1,595.0,1,595.0,1
gsm8k,68,36,36.0,36.0,36.0,36.0,1,1,1,1,0,,0,36.0,1,36.0,1,36.0,1,36.0,1,36.0,1
gsm8k,69,60,60.0,60.0,60.0,60.0,1,1,1,1,0,,0,60.0,1,60.0,1,60.0,1,60.0,1,60.0,1
gsm8k,70,7425,7425.0,7425.0,7425.0,7425.0,1,1,1,1,0,,0,7425.0,1,7425.0,1,15.0,0,7425.0,1,425.0,0
gsm8k,71,60,60.0,60.0,60.0,60.0,1,1,1,1,0,,0,60.0,1,60.0,1,60.0,1,60.0,1,60.0,1
gsm8k,72,221,221.0,221.0,221.0,221.0,1,1,1,1,0,,0,221.0,1,221.0,1,221.0,1,221.0,1,221.0,1
gsm8k,73,255,255.0,255.0,255.0,255.0,1,1,1,1,0,,0,255.0,1,255.0,1,15.0,0,255.0,1,255.0,1
gsm8k,74,88,88.0,88.0,88.0,88.0,1,1,1,1,0,,0,88.0,1,88.0,1,88.0,1,88.0,1,88.0,1
gsm8k,75,60,60.0,60.0,60.0,60.0,1,1,1,1,0,,0,60.0,1,60.0,1,16.0,0,60.0,1,7.5,0
gsm8k,76,5,5.0,5.0,5.0,5.0,1,1,1,1,0,,0,5.0,1,5.0,1,1.0,0,5.0,1,5.0,1
gsm8k,77,100,100.0,100.0,100.0,100.0,1,1,1,1,0,,0,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1
gsm8k,78,6,6.0,6.0,2.5,6.0,1,1,0,1,1,weak,0,6.0,1,6.0,1,2.5,0,,0,6.0,1
gsm8k,79,70,70.0,70.0,70.0,70.0,1,1,1,1,0,,0,70.0,1,70.0,1,70.0,1,70.0,1,70.0,1
gsm8k,80,10,10.0,10.0,10.0,10.0,1,1,1,1,0,,0,10.0,1,10.0,1,10.0,1,10.0,1,10.0,1
gsm8k,81,17,17.0,17.0,17.0,17.0,1,1,1,1,0,,0,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1
gsm8k,82,623,623.0,623.0,623.0,623.0,1,1,1,1,0,,0,623.0,1,623.0,1,623.0,1,623.0,1,623.0,1
gsm8k,83,600,600.0,600.0,600.0,600.0,1,1,1,1,0,,0,600.0,1,600.0,1,600.0,1,600.0,1,600.0,1
gsm8k,84,15,15.0,15.0,15.0,15.0,1,1,1,1,0,,0,15.0,1,15.0,1,15.0,1,15.0,1,15.0,1
gsm8k,85,44,44.0,44.0,44.0,44.0,1,1,1,1,1,weak,0,44.0,1,44.0,1,12.0,0,,0,44.0,1
gsm8k,86,22,22.0,22.0,22.0,22.0,1,1,1,1,0,,0,22.0,1,22.0,1,22.0,1,22.0,1,22.0,1
gsm8k,87,9360,9360.0,9360.0,9360.0,9360.0,1,1,1,1,1,weak,0,9360.0,1,9360.0,1,60.0,0,,0,1080.0,0
gsm8k,88,8000,8000.0,8000.0,8000.0,8000.0,1,1,1,1,0,,0,8000.0,1,8000.0,1,8000.0,1,8000.0,1,8000.0,1
gsm8k,89,24,24.0,24.0,24.0,24.0,1,1,1,1,0,,0,24.0,1,24.0,1,0.7,0,24.0,1,18.0,0
gsm8k,90,225,225.0,225.0,225.0,225.0,1,1,1,1,0,,0,225.0,1,225.0,1,225.0,1,225.0,1,225.0,1
gsm8k,91,28,28.0,28.0,28.0,28.0,1,1,1,1,0,,0,28.0,1,28.0,1,28.0,1,28.0,1,28.0,1
gsm8k,92,4,4.0,4.0,4.0,4.0,1,1,1,1,0,,0,4.0,1,4.0,1,4.0,1,4.0,1,4.0,1
gsm8k,93,36,36.36,36.36,36.36,36.36,0,0,0,0,1,weak,0,36.36,0,36.0,1,38.0,0,,0,44.0,0
gsm8k,94,348,348.0,348.0,348.0,348.0,1,1,1,1,0,,0,348.0,1,348.0,1,348.0,1,348.0,1,348.0,1
gsm8k,95,40,40.0,40.0,40.0,40.0,1,1,1,1,0,,0,40.0,1,40.0,1,40.0,1,40.0,1,40.0,1
gsm8k,96,3,3.0,3.0,3.0,3.0,1,1,1,1,0,,0,3.0,1,3.0,1,3.0,1,3.0,1,3.0,1
gsm8k,97,12,12.0,12.0,12.0,12.0,1,1,1,1,0,,0,12.0,1,12.0,1,12.0,1,12.0,1,12.0,1
gsm8k,98,5,5.0,5.0,5.0,5.0,1,1,1,1,0,,0,5.0,1,5.0,1,30.0,0,5.0,1,5.0,1
gsm8k,99,58,58.0,58.0,58.0,58.0,1,1,1,1,0,,0,58.0,1,58.0,1,58.0,1,58.0,1,58.0,1
gsm8k,100,175,175.0,175.0,175.0,175.0,1,1,1,1,1,weak,0,175.0,1,175.0,1,10.0,0,,0,175.0,1
gsm8k,101,6,6.0,6.0,6.0,6.0,1,1,1,1,0,,0,6.0,1,6.0,1,6.0,1,6.0,1,6.0,1
gsm8k,102,26,26.0,26.0,26.0,26.0,1,1,1,1,0,,0,26.0,1,26.0,1,26.0,1,26.0,1,26.0,1
gsm8k,103,140,140.0,140.0,140.0,140.0,1,1,1,1,0,,0,140.0,1,140.0,1,42.0,0,140.0,1,140.0,1
gsm8k,104,500,500.0,500.0,500.0,500.0,1,1,1,1,0,,0,500.0,1,500.0,1,1.0,0,500.0,1,500.0,1
gsm8k,105,20,20.0,20.0,20.0,20.0,1,1,1,1,0,,0,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1
gsm8k,106,72,72.0,72.0,72.0,72.0,1,1,1,1,0,,0,72.0,1,72.0,1,72.0,1,72.0,1,72.0,1
gsm8k,107,3,3.0,3.0,3.0,3.0,1,1,1,1,0,,0,3.0,1,3.0,1,12.0,0,3.0,1,3.0,1
gsm8k,108,50,50.0,50.0,50.0,50.0,1,1,1,1,0,,0,50.0,1,50.0,1,50.0,1,50.0,1,50.0,1
gsm8k,109,28,28.0,28.0,28.0,28.0,1,1,1,1,0,,0,28.0,1,28.0,1,28.0,1,28.0,1,28.0,1
gsm8k,110,45,45.0,45.0,45.0,45.0,1,1,1,1,0,,0,45.0,1,45.0,1,45.0,1,45.0,1,45.0,1
gsm8k,111,16,16.0,16.0,16.0,16.0,1,1,1,1,0,,0,16.0,1,16.0,1,16.0,1,16.0,1,16.0,1
gsm8k,112,24,24.0,24.0,24.0,24.0,1,1,1,1,0,,0,24.0,1,24.0,1,24.0,1,24.0,1,24.0,1
gsm8k,113,25,25.0,25.0,25.0,25.0,1,1,1,1,0,,0,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1
gsm8k,114,6,6.0,6.0,6.0,6.0,1,1,1,1,0,,0,6.0,1,6.0,1,1800.0,0,6.0,1,6.0,1
gsm8k,115,90,90.0,90.0,90.0,90.0,1,1,1,1,0,,0,90.0,1,90.0,1,180.0,0,90.0,1,90.0,1
gsm8k,116,42,42.0,42.0,42.0,42.0,1,1,1,1,0,,0,42.0,1,42.0,1,42.0,1,42.0,1,42.0,1
gsm8k,117,360,360.0,360.0,360.0,360.0,1,1,1,1,0,,0,360.0,1,720.0,0,360.0,1,360.0,1,360.0,1
gsm8k,118,4,4.0,4.0,4.0,4.0,1,1,1,1,0,,0,4.0,1,4.0,1,4.0,1,4.0,1,4.0,1
gsm8k,119,95200,76.92,76.92,56000.0,76.92,0,0,0,0,2,"very_strong,weak",0,,0,76.92,0,0.0,0,,0,56000.0,0
gsm8k,120,240,240.0,240.0,240.0,240.0,1,1,1,1,0,,0,240.0,1,240.0,1,240.0,1,240.0,1,240.0,1
gsm8k,121,27,27.0,27.0,27.0,27.0,1,1,1,1,0,,0,27.0,1,27.0,1,27.0,1,27.0,1,27.0,1
gsm8k,122,48,48.0,48.0,48.0,48.0,1,1,1,1,1,weak,0,48.0,1,48.0,1,12.0,0,,0,55.0,0
gsm8k,123,50,50.0,50.0,50.0,50.0,1,1,1,1,0,,0,50.0,1,50.0,1,50.0,1,50.0,1,50.0,1
gsm8k,124,10,10.0,10.0,10.0,10.0,1,1,1,1,0,,0,10.0,1,10.0,1,10.0,1,10.0,1,10.0,1
gsm8k,125,10,10.0,10.0,10.0,10.0,1,1,1,1,0,,0,10.0,1,10.0,1,10.0,1,10.0,1,10.0,1
gsm8k,126,82,82.0,82.0,82.0,82.0,1,1,1,1,0,,0,82.0,1,82.0,1,82.0,1,82.0,1,82.0,1
gsm8k,127,120,120.0,120.0,120.0,120.0,1,1,1,1,0,,0,120.0,1,120.0,1,120.0,1,120.0,1,120.0,1
gsm8k,128,880,880.0,880.0,880.0,880.0,1,1,1,1,0,,0,880.0,1,880.0,1,15.0,0,880.0,1,880.0,1
gsm8k,129,10000,10000.0,10000.0,10000.0,10000.0,1,1,1,1,0,,0,10000.0,1,0.0,0,10.0,0,10000.0,1,0.0,0
gsm8k,130,30,30.0,30.0,30.0,30.0,1,1,1,1,0,,0,30.0,1,30.0,1,30.0,1,30.0,1,30.0,1
gsm8k,131,940,940.0,940.0,940.0,940.0,1,1,1,1,0,,0,940.0,1,940.0,1,940.0,1,940.0,1,940.0,1
gsm8k,132,60,60.0,60.0,60.0,60.0,1,1,1,1,0,,0,60.0,1,60.0,1,60.0,1,60.0,1,60.0,1
gsm8k,133,13,13.0,13.0,13.0,13.0,1,1,1,1,0,,0,13.0,1,13.0,1,13.0,1,13.0,1,13.0,1
gsm8k,134,720,720.0,720.0,720.0,720.0,1,1,1,1,0,,0,720.0,1,720.0,1,720.0,1,720.0,1,720.0,1
gsm8k,135,40,40.0,40.0,40.0,40.0,1,1,1,1,0,,0,40.0,1,40.0,1,40.0,1,40.0,1,40.0,1
gsm8k,136,6,6.0,6.0,6.0,6.0,1,1,1,1,0,,0,6.0,1,6.0,1,6.0,1,6.0,1,6.0,1
gsm8k,137,29,29.0,29.0,29.0,29.0,1,1,1,1,0,,0,29.0,1,29.0,1,29.0,1,29.0,1,29.0,1
gsm8k,138,105,105.0,105.0,70.0,105.0,1,1,0,1,1,weak,0,105.0,1,105.0,1,105.0,1,,0,70.0,0
gsm8k,139,70,70.0,70.0,70.0,70.0,1,1,1,1,0,,0,70.0,1,70.0,1,4.0,0,70.0,1,70.0,1
gsm8k,140,20,20.0,20.0,20.0,20.0,1,1,1,1,0,,0,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1
gsm8k,141,400,400.0,400.0,400.0,400.0,1,1,1,1,0,,0,400.0,1,400.0,1,400.0,1,400.0,1,400.0,1
gsm8k,142,140,140.0,140.0,140.0,140.0,1,1,1,1,0,,0,140.0,1,140.0,1,140.0,1,140.0,1,140.0,1
gsm8k,143,16,16.0,16.0,16.0,16.0,1,1,1,1,0,,0,16.0,1,16.0,1,16.0,1,16.0,1,15.7,0
gsm8k,144,20,20.0,20.0,20.0,20.0,1,1,1,1,0,,0,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1
gsm8k,145,4000,4000.0,4000.0,4000.0,4000.0,1,1,1,1,0,,0,4000.0,1,4000.0,1,4000.0,1,4000.0,1,4000.0,1
gsm8k,146,2125,2125.0,2125.0,2125.0,2125.0,1,1,1,1,0,,0,2125.0,1,2125.0,1,2125.0,1,2125.0,1,2125.0,1
gsm8k,147,75,60.0,60.0,15.0,60.0,0,0,0,0,2,"very_strong,weak",0,,0,60.0,0,15.0,0,,0,75.0,1
gsm8k,148,30,30.0,30.0,30.0,30.0,1,1,1,1,0,,0,30.0,1,30.0,1,30.0,1,30.0,1,30.0,1
gsm8k,149,16,16.0,16.0,16.0,16.0,1,1,1,1,0,,0,16.0,1,16.0,1,16.0,1,16.0,1,16.0,1
gsm8k,150,4,4.0,4.0,4.0,4.0,1,1,1,1,0,,0,4.0,1,4.0,1,440.0,0,4.0,1,4.0,1
gsm8k,151,5,5.0,5.0,5.0,5.0,1,1,1,1,0,,0,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1
gsm8k,152,4,4.0,4.0,4.0,4.0,1,1,1,1,0,,0,4.0,1,4.0,1,4.0,1,4.0,1,4.0,1
gsm8k,153,48,48.0,48.0,48.0,48.0,1,1,1,1,0,,0,48.0,1,48.0,1,3.0,0,48.0,1,3.0,0
gsm8k,154,272,272.0,272.0,272.0,272.0,1,1,1,1,0,,0,272.0,1,272.0,1,1.0,0,272.0,1,272.0,1
gsm8k,155,280,280.0,280.0,280.0,280.0,1,1,1,1,0,,0,280.0,1,280.0,1,280.0,1,280.0,1,280.0,1
gsm8k,156,1400,1400.0,1400.0,1400.0,1400.0,1,1,1,1,0,,0,1400.0,1,1400.0,1,1400.0,1,1400.0,1,1400.0,1
gsm8k,157,80,80.0,80.0,80.0,80.0,1,1,1,1,2,"very_strong,weak",0,,0,80.0,1,2920.0,0,,0,80.0,1
gsm8k,158,34,34.0,34.0,34.0,34.0,1,1,1,1,0,,0,34.0,1,34.0,1,34.0,1,34.0,1,34.0,1
gsm8k,159,15,15.0,15.0,15.0,15.0,1,1,1,1,0,,0,15.0,1,15.0,1,2.0,0,15.0,1,17.0,0
gsm8k,160,16,16.0,16.0,16.0,16.0,1,1,1,1,0,,0,16.0,1,16.0,1,16.0,1,16.0,1,16.0,1
gsm8k,161,32,32.0,32.0,17.0,17.0,1,1,0,0,0,,0,17.0,0,8.0,0,2.0,0,32.0,1,32.0,1
gsm8k,162,92,92.0,92.0,92.0,92.0,1,1,1,1,0,,0,92.0,1,9051.0,0,20.0,0,92.0,1,17.199,0
gsm8k,163,50,50.0,50.0,50.0,50.0,1,1,1,1,0,,0,50.0,1,50.0,1,50.0,1,50.0,1,54.0,0
gsm8k,164,15,15.0,15.0,15.0,15.0,1,1,1,1,0,,0,15.0,1,15.0,1,15.0,1,15.0,1,15.0,1
gsm8k,165,77,77.0,77.0,77.0,77.0,1,1,1,1,0,,0,77.0,1,77.0,1,12.0,0,77.0,1,77.0,1
gsm8k,166,5,5.0,5.0,5.0,5.0,1,1,1,1,0,,0,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1
gsm8k,167,16,16.0,16.0,16.0,16.0,1,1,1,1,0,,0,16.0,1,16.0,1,16.0,1,16.0,1,16.0,1
gsm8k,168,18,18.0,18.0,18.0,18.0,1,1,1,1,0,,0,18.0,1,18.0,1,18.0,1,18.0,1,18.0,1
gsm8k,169,120,120.0,120.0,120.0,120.0,1,1,1,1,0,,0,120.0,1,120.0,1,120.0,1,120.0,1,120.0,1
gsm8k,170,150,150.0,150.0,150.0,150.0,1,1,1,1,0,,0,150.0,1,150.0,1,150.0,1,150.0,1,150.0,1
gsm8k,171,1210,1210.0,1210.0,1210.0,1210.0,1,1,1,1,0,,0,1210.0,1,1210.0,1,121.0,0,1210.0,1,1210.0,1
gsm8k,172,51,51.0,51.0,51.0,51.0,1,1,1,1,0,,0,51.0,1,51.0,1,51.0,1,51.0,1,51.0,1
gsm8k,173,18000,18000.0,18000.0,18000.0,18000.0,1,1,1,1,0,,0,18000.0,1,18000.0,1,12.0,0,18000.0,1,0.0,0
gsm8k,174,95,95.0,95.0,95.0,95.0,1,1,1,1,0,,0,95.0,1,95.0,1,95.0,1,95.0,1,95.0,1
gsm8k,175,15,15.0,15.0,15.0,15.0,1,1,1,1,0,,0,15.0,1,15.0,1,15.0,1,15.0,1,15.0,1
gsm8k,176,100,100.0,100.0,100.0,100.0,1,1,1,1,0,,0,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1
gsm8k,177,350,350.0,350.0,350.0,350.0,1,1,1,1,0,,0,350.0,1,350.0,1,125.0,0,350.0,1,350.0,1
gsm8k,178,122,122,122,122,122,1,1,1,1,0,,0,122,1,122,1,122,1,122,1,122,1
gsm8k,179,130,130,130,130,130,1,1,1,1,0,,0,130,1,130,1,130,1,130,1,130,1
gsm8k,180,20,20,20,20,20,1,1,1,1,0,,0,20,1,20,1,20,1,20,1,20,1
gsm8k,181,160,160,160,160,160,1,1,1,1,0,,0,160,1,160,1,200,0,160,1,160,1
gsm8k,182,23,23,23,23,24,1,1,1,0,0,,0,24,0,23,1,21,0,23,1,23,1
gsm8k,183,2,2,2,2,2,1,1,1,1,0,,0,2,1,2,1,2,1,2,1,2,1
gsm8k,184,25,100,100,100,100,0,0,0,0,0,,0,100,0,100,0,2,0,25,1,33.33,0
gsm8k,185,30,30,30,30,30,1,1,1,1,0,,0,30,1,30,1,30,1,30,1,30,1
gsm8k,186,5,5,5,5,5,1,1,1,1,1,weak,0,5,1,5,1,6,0,,0,65,0
gsm8k,187,106,106.12,106.12,106.12,106.12,0,0,0,0,0,,0,106.12,0,106.12,0,2,0,106.12,0,106,1
gsm8k,188,50,50,50,50,50,1,1,1,1,0,,0,50,1,50,1,50,1,50,1,50,1
gsm8k,189,34,34,34,34,34,1,1,1,1,0,,0,34,1,34,1,20.25,0,34,1,34,1
gsm8k,190,360,360,360,360,360,1,1,1,1,0,,0,360,1,360,1,360,1,360,1,360,1
gsm8k,191,5,5,5,5,5,1,1,1,1,0,,0,5,1,5,1,5,1,5,1,5,1
gsm8k,192,91,91,91,21,91,1,1,0,1,0,,0,91,1,91,1,21,0,91,1,91,1
gsm8k,193,24,24,24,24,24,1,1,1,1,0,,0,24,1,24,1,24,1,24,1,24,1
gsm8k,194,10,10,10,10,10,1,1,1,1,0,,0,10,1,10,1,10,1,10,1,10,1
gsm8k,195,12,12,12,12,12,1,1,1,1,0,,0,12,1,12,1,12,1,12,1,12,1
gsm8k,196,120,120,120,120,120,1,1,1,1,0,,0,120,1,120,1,120,1,120,1,120,1
gsm8k,197,6277,6277,6277,6277,6277,1,1,1,1,0,,0,6277,1,6277,1,4,0,6277,1,6277,1
gsm8k,198,320,320,320,320,320,1,1,1,1,0,,0,320,1,320,1,320,1,320,1,320,1
gsm8k,199,7500,7500,7500,7500,7500,1,1,1,1,0,,0,7500,1,7500,1,7500,1,7500,1,7500,1
